COU,DNK,DNK,SWE,SWE,SWE,SWE,USA,USA,USA,RUS,RUS,JPN,JPN,JPN,ESP,ESP,ESP,GBR,GBR,ZAF,BRA,NZL,NZL,NZL,PRT,PRT,AUS,AUS,AUS,CAN,CAN,BEL,BEL,BEL,BEL,BEL,FIN,FIN,FIN,FRA,FRA,FRA,DEU,DEU,DEU,DEU,ISL,ISL,ITA,ITA,ITA,ITA,ITA,NLD,NLD,NLD,NLD,NLD,NOR,NOR,NOR,NOR
VAR,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,BANKRUPTCIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,ENTRIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,EXITS,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,ENTRIES,BANKRUPTCIES,ENTRIES,ENTRIES,BANKRUPTCIES,EXITS,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES,EXITS,ENTRIES,ENTRIES,BANKRUPTCIES,BANKRUPTCIES
MEA,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX,INDEX
ISIC4,01_99,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99,01_99,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99C,01_99C,01_99,01_99,01_99C,01_99C,01_99C,01_99C,01_99C,01_99,01_99C,01_99C,01_99C,01_99C,01_99,01_99C,01_99,01_99,01_99C,01_99,01_99,01_99,01_99,01_99C,01_99C,01_99,01_99C,01_99,01_99,01_99,01_99,01_99,01_99C,01_99,01_99,01_99C,01_99,01_99C,01_99,01_99C,01_99C,01_99,01_99C,01_99,01_99C
2007-Q2,99.47447455,97.55587695,98.38305294,98.07117887,99.65935632,100.587625,100.4200921,95.00316606,98.60250155,100.3269988,106.7810683,103.118718,98.86494572,100.2799349,104.355304,92.19857865,100.850873,104.4172058,99.65739702,99.91961117,106.1893145,103.3266605,97.74480036,99.51233833,98.36645302,97.76854729,100.8145203,90.85647012,98.37018271,100.4507049,99.96093974,100.1399372,99.0916703,100.1334873,99.84709672,100.337697,100.1908564,99.45346087,99.33350805,98.21577102,99.78824008,100.1557858,101.1235986,99.82193855,100.2505887,99.86295697,96.81970187,99.34884749,100.7453418,101.0001791,98.45213931,99.10811732,97.59770744,100.9669658,101.6504827,102.9837632,99.64406715,98.83875683,100.8950297,100.6010025,99.42367441,97.158361
2007-Q3,100.9658822,99.27232928,100.6559165,102.4482642,101.1007748,98.11234753,99.6178759,103.3953407,100.6665688,99.63353805,90.13604859,100.1698797,100.8243308,100.8756032,97.80762317,104.5303855,102.8714378,99.31710266,100.1647448,101.168537,97.76926927,96.20235457,101.7692209,100.4729407,102.1963624,98.40633443,99.64618925,91.26087858,100.3032345,99.99382311,99.75174193,100.3231369,101.8747009,100.1599498,100.0849056,98.54617613,99.82828777,99.68240605,100.521918,102.0803441,101.8324717,100.3914531,98.45335341,100.8239179,99.05077591,100.0124831,100.2227074,101.0507408,99.79157408,98.11205114,92.77464984,101.7986439,107.8814429,98.9894937,99.33010622,99.50098239,100.5495139,100.5357607,99.42063357,99.64747378,95.69469426,95.32588316
2007-Q4,101.511453,106.1817917,103.2375472,105.3703114,100.5254626,97.82308936,98.37507906,113.519637,103.6492172,98.91978026,77.22322166,94.23929582,103.7487349,100.2976961,89.59352842,116.692109,100.9520818,93.42869854,99.93289157,100.6924135,86.48185474,89.60039286,105.6057199,101.446434,104.8547528,105.010864,98.04569999,89.7343043,101.7590898,99.74766872,100.3730057,99.62734094,103.3740207,100.2451094,100.2674661,98.00406133,99.62893397,101.4239121,101.9016196,104.2846322,102.8308151,100.1833326,96.35280275,100.9420198,98.39725256,100.3579976,106.7254871,103.1667776,98.30888563,96.23378174,95.53174895,103.2328468,107.6718226,97.12693856,96.2657018,92.49145242,98.96410696,103.0798301,97.66827807,97.66895568,98.08573294,102.0763033
2008-Q1,100.7279352,116.6364971,103.6699474,105.9690643,99.21795325,100.3706919,96.38651263,125.4319685,106.8574287,98.02368187,61.27188447,88.23161215,107.807785,99.40669372,82.62447165,126.9442432,98.58206981,91.10420728,102.3705941,101.0610436,74.58211744,83.58364244,112.0764048,102.4357668,105.6435634,118.8664202,97.67013681,87.16431413,105.0737675,99.5860258,102.3185108,98.45874695,103.718845,101.7157089,100.2102198,97.52137488,99.66692983,104.5641153,103.4018996,104.4673738,103.7225695,100.8964699,94.88794881,100.5679212,97.88363494,100.9677428,114.4511824,108.5381455,96.78760934,92.59075928,104.8037325,103.2195605,102.090531,95.46557252,93.11339354,84.62376193,98.16821354,105.8306767,95.99982061,94.08512028,103.8677013,111.1390891
2008-Q2,98.89955125,133.9741516,100.7054638,103.7129057,101.8278351,105.4784088,93.80573749,141.2813143,109.7534424,96.77985975,52.89725202,82.62148834,112.5316678,99.27808895,77.04215529,225.2119887,99.59388269,91.89829886,113.2303841,104.4541204,65.26138052,78.23301926,127.9668194,103.448057,107.2235636,138.7423144,97.10772293,84.56052682,114.2231605,98.62723585,104.5281018,97.14971485,102.2887556,104.045959,100.0891673,97.01423832,99.15012252,110.4560021,104.8492186,104.7070507,104.3768843,104.0140725,94.5186085,100.048135,97.73608834,101.6587722,117.8692617,117.7349834,95.33209705,87.66401891,114.7805635,101.6253502,98.43960795,94.00976074,89.81031339,82.54449787,99.5058796,106.5469682,94.53415371,87.6671322,114.5931198,120.8050075
2001-Q4,59.97441211,109.9177615,,,,126.6025203,95.85169089,,94.9783965,,,85.38751498,,102.0371564,76.89013099,,64.66756972,,,138.1352781,299.3227906,,,,,,,61.30452474,87.2879637,85.31534757,120.7755187,,,81.8073392,,,65.24247425,129.152767,86.70321135,65.325299,56.97946094,90.27382554,,,,,,,97.52756578,96.86292902,182.9830798,71.42595516,51.91497885,,,78.8043841,101.8620412,,76.00702413,60.01543804,127.5494967,121.3807018
2008-Q3,97.36783909,163.2431122,96.73362779,100.3426071,111.3340492,113.2456709,90.92292745,162.7266242,111.1889089,95.13734123,57.16462556,82.12489163,118.0282662,100.7871104,69.90274444,381.1950054,103.9958209,93.7400745,130.0329994,110.7723054,62.80495473,73.67169312,148.2659188,104.4790759,108.3099433,159.8466026,94.52562173,81.85009908,126.8803831,97.04443677,104.9062434,95.49271383,101.9236352,106.1331593,100.0258155,96.13053803,96.76199481,120.4742374,105.9317242,101.4701202,105.0983079,110.1678116,94.06964181,99.53024711,97.7122088,102.1883731,116.2421054,126.0451657,93.65123214,83.01860063,122.9600325,98.6511323,92.84757519,92.69378875,86.98825625,87.80630733,106.5214232,106.4013472,78.99348859,79.16477919,135.2992346,131.9642661
2008-Q4,80.86379866,198.7942429,95.00398223,97.09490352,125.5098174,122.1258483,87.79453869,186.7081374,110.7658334,93.39413717,66.71654378,85.44395387,122.9254267,103.6440851,62.04927933,420.2138679,110.1517942,94.6412576,145.0195655,118.8212038,62.23514127,69.86947058,168.1663153,105.5183692,102.7380808,171.3901939,91.65725849,79.9829451,136.8016907,95.38478813,104.327439,93.36476561,98.70277813,106.8832992,100.5859378,96.40838379,92.63037477,131.6296579,106.2980767,95.17678288,91.07268038,117.3149581,94.09372679,102.0581213,98.14153425,102.4296873,114.3329022,131.5379861,92.26254075,83.47469933,130.9793431,96.18050753,88.27749225,91.43800131,85.11881771,94.19899452,121.9538854,105.4889761,77.72768132,71.28179496,159.9708838,191.6801404
2009-Q1,79.41016946,225.6818292,96.52259328,95.07299227,135.3555085,128.0597883,84.91423889,207.3702035,109.1214903,91.7734598,71.42695617,90.85975343,125.7584773,106.4813249,56.66691643,469.3396075,116.2934272,94.31830459,153.2572102,126.1886319,59.18658406,66.60548044,174.1171564,106.5600586,94.30395098,165.8203616,89.50913983,80.23772522,135.9846253,93.90479612,104.3949345,91.34849659,93.31150763,106.8420658,102.2145082,100.0506168,89.18909054,141.374353,106.0078399,149.5886407,91.27711598,122.3165493,94.79463075,107.8324056,99.81668965,102.351958,115.6686507,136.7854487,91.3323371,88.53711343,137.9984465,95.09842593,87.77208587,90.25560568,84.54583307,130.6201312,189.6424067,103.3975973,76.91280352,65.61424104,177.8431034,205.085213
2009-Q2,77.73214854,239.458494,100.2026964,95.88730169,134.5666271,128.7834814,83.12761574,219.4234941,106.2217839,90.1677152,70.10237441,95.90438285,124.0170562,108.0169833,54.38943458,481.3238046,120.8132348,94.85092118,152.7810618,131.2266582,55.73037683,63.56064819,153.6789,107.6122239,93.30212772,154.476989,88.51007336,82.23665893,127.3172378,93.2080624,97.07648436,91.09451448,92.97734007,108.1350967,104.445197,104.8529503,88.20438163,146.7699306,105.3369664,185.1426246,92.58721493,124.2079002,95.86040597,112.7736409,101.8023522,101.9833412,119.0513714,140.8749664,90.63884408,92.70892092,146.3211083,94.96946621,84.80615604,89.20100564,85.68287226,135.5292487,196.5041325,102.167376,77.13479336,63.09132603,182.3118519,209.4859899
2009-Q3,76.31601502,242.9845462,103.897494,97.45394588,128.6463155,125.9655584,82.72112547,221.2221479,102.2863313,88.79041559,67.45665512,98.28519659,118.2866354,106.9453657,55.00257443,465.0790116,126.243093,96.64432686,146.800481,134.2005065,54.65914114,74.65951873,131.3149455,108.6786864,96.67353204,149.1126862,90.11148618,85.10431732,120.6558397,93.09149519,96.60488349,93.13425204,97.06029711,109.903887,106.6490693,111.2421239,89.50715045,145.0124847,104.3084453,187.347061,96.61331818,123.2999402,98.64635638,117.1510024,102.5605676,101.4372443,121.8850928,144.1361146,90.27661373,97.21194722,156.9793492,94.96685367,81.10941085,88.24400102,86.99682366,134.7995862,196.1091213,101.6668154,78.1906539,63.31711784,173.2359997,197.2733299
2009-Q4,75.41104085,250.2786146,107.2818774,98.68081064,123.6233792,122.5623503,83.38797248,216.6771135,98.25088213,87.72514168,69.02215933,97.2410291,113.4318479,103.0872949,57.1037728,467.1146534,130.6353133,97.87226753,139.993586,135.0443993,55.42782053,71.03114829,123.5879624,109.751704,98.04713036,147.2940838,92.00501786,87.64894903,120.979555,93.06710015,95.7916931,95.86444836,101.544547,108.9891177,107.9229418,116.9461838,92.00218551,138.5896627,102.8736528,195.0579786,100.5220498,121.5988425,100.5884306,118.9846379,102.0716514,100.9098405,122.2074722,148.6623954,89.67087514,96.23973776,166.345961,93.80134925,81.88374197,87.32368039,86.34889397,129.8933193,189.3089246,100.8145765,79.97786346,64.8087319,164.1682954,182.102977
2010-Q1,76.49745006,266.9956392,113.2407489,100.8085828,122.683223,121.0762648,84.06863438,210.2460423,94.62584572,86.65812104,72.85974712,94.27385487,110.2530061,97.92244105,58.3630904,460.1422225,133.5773671,99.3934027,134.2754374,134.1327587,55.77368562,67.84304578,126.0271184,110.8352797,98.67927998,143.7100458,91.30376739,88.59817516,125.5766456,93.27677601,95.97323104,98.12092862,105.1368868,105.3434375,107.8163015,116.926969,94.15058,130.7194163,101.3731907,196.832779,101.6376795,120.0678097,100.3060026,117.4337125,101.1499525,100.4957978,114.7340892,152.5339214,88.63144564,88.39408518,173.6361214,91.5963737,82.92256604,86.48699905,83.58484232,125.9840595,181.1985235,101.240949,81.93457975,66.59602089,161.4915335,172.7437488
